reception_time,controller,order,n,lsg,answer,correct,time,grammatical
1645601148,AcceptabilityJudgment,44,0,19,,,,0
1645601148,AcceptabilityJudgment,44,0,19,1,NULL,3889,0
1645601148,AcceptabilityJudgment,43,0,18,,,,1
1645601148,AcceptabilityJudgment,43,0,18,7,NULL,5373,1
1645601148,AcceptabilityJudgment,48,0,21,,,,0
1645601148,AcceptabilityJudgment,48,0,21,1,NULL,4684,0
1645601148,AcceptabilityJudgment,36,0,15,,,,1
1645601148,AcceptabilityJudgment,36,0,15,7,NULL,7438,1
1645601148,AcceptabilityJudgment,55,0,24,,,,0
1645601148,AcceptabilityJudgment,55,0,24,1,NULL,4607,0
1645601148,AcceptabilityJudgment,32,0,13,,,,1
1645601148,AcceptabilityJudgment,32,0,13,6,NULL,3956,1
1645601148,AcceptabilityJudgment,47,0,20,,,,0
1645601148,AcceptabilityJudgment,47,0,20,1,NULL,2506,0
1645601148,AcceptabilityJudgment,39,0,16,,,,1
1645601148,AcceptabilityJudgment,39,0,16,7,NULL,8828,1
1645601148,AcceptabilityJudgment,52,0,23,,,,0
1645601148,AcceptabilityJudgment,52,0,23,1,NULL,5692,0
1645601148,AcceptabilityJudgment,35,0,14,,,,1
1645601148,AcceptabilityJudgment,35,0,14,7,NULL,5532,1
1645601148,AcceptabilityJudgment,51,0,22,,,,0
1645601148,AcceptabilityJudgment,51,0,22,1,NULL,3612,0
1645601148,AcceptabilityJudgment,40,0,17,,,,1
1645601148,AcceptabilityJudgment,40,0,17,7,NULL,7727,1
1645601919,AcceptabilityJudgment,53,0,23,,,,0
1645601919,AcceptabilityJudgment,53,0,23,1,NULL,9359,0
1645601919,AcceptabilityJudgment,37,0,15,,,,1
1645601919,AcceptabilityJudgment,37,0,15,2,NULL,7569,1
1645601919,AcceptabilityJudgment,54,0,24,,,,0
1645601919,AcceptabilityJudgment,54,0,24,1,NULL,11238,0
1645601919,AcceptabilityJudgment,34,0,14,,,,1
1645601919,AcceptabilityJudgment,34,0,14,5,NULL,9904,1
1645601919,AcceptabilityJudgment,50,0,22,,,,0
1645601919,AcceptabilityJudgment,50,0,22,1,NULL,6329,0
1645601919,AcceptabilityJudgment,42,0,18,,,,1
1645601919,AcceptabilityJudgment,42,0,18,7,NULL,16362,1
1645601919,AcceptabilityJudgment,46,0,20,,,,0
1645601919,AcceptabilityJudgment,46,0,20,1,NULL,6581,0
1645601919,AcceptabilityJudgment,41,0,17,,,,1
1645601919,AcceptabilityJudgment,41,0,17,7,NULL,4647,1
1645601919,AcceptabilityJudgment,49,0,21,,,,0
1645601919,AcceptabilityJudgment,49,0,21,1,NULL,5120,0
1645601919,AcceptabilityJudgment,33,0,13,,,,1
1645601919,AcceptabilityJudgment,33,0,13,7,NULL,6442,1
1645601919,AcceptabilityJudgment,45,0,19,,,,0
1645601919,AcceptabilityJudgment,45,0,19,1,NULL,7775,0
1645601919,AcceptabilityJudgment,38,0,16,,,,1
