reception_time,ip,label,sentence,answer,time
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,id.mesh.pass.a,Хорошее воспитание не мешало грехам водиться за Аркашей. ,4,411
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,id.pomo.act.a,Следователи были в полном замешательстве%2C но рассказ очевидца помог всему встать на свои места. ,4,408
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,id.zast.act.b,Напряженное молчание заставляло атмосферу сгущаться сильнее и сильнее. ,4,409
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,id.pozv.pass.b,Школьная директриса Лариса Эдуардовна была сторонницей индивидуального подхода к ученикам и не позволяла ярлыкам вешаться без разбора. ,4,384
1636881140,f22bc56aad1bc122b31322a6a09ec2f6,id.mesh.pass.b,Родительский контроль должен мешать головам детей забиваться чушью%2C которую они могут увидеть в интернете.,4,742
1636881140,f22bc56aad1bc122b31322a6a09ec2f6,id.zast.pass.a,Приход в администрацию нового руководства заставил декорации смениться.,4,469
1636881140,f22bc56aad1bc122b31322a6a09ec2f6,id.pomo.act.b,Алёна была в ярости%2C когда узнала%2C где муж побывал той ночью%2C но искренние извинения и пышный букет пионов помогли гневу смениться на милость.,4,483
1636881140,f22bc56aad1bc122b31322a6a09ec2f6,id.pozv.act.a,Бесконечные промедления не позволяли делу сдвинуться с мёртвой точки.,4,403
1636881210,f22bc56aad1bc122b31322a6a09ec2f6,id.zast.pass.b,Хватит учить Пашу писать стихи – заставляешь бумагу мараться почем зря.,5,493
1636881210,f22bc56aad1bc122b31322a6a09ec2f6,id.pozv.act.b,В команде проекта собрались отличные компетентные люди%2C но отсутствие чётких указаний от руководителя не позволяло льду тронуться.,5,596
1636881210,f22bc56aad1bc122b31322a6a09ec2f6,id.pomo.pass.a,Новые запретительные меры помогли гайкам закрутиться ещё сильнее. ,5,470
1636881210,f22bc56aad1bc122b31322a6a09ec2f6,id.mesh.act.a,Мой день рождения проходил отлично%2C однако праздник не мешал кошкам скрести на душе. ,5,510
1636881447,f22bc56aad1bc122b31322a6a09ec2f6,id.mesh.act.a,Мой день рождения проходил отлично%2C однако праздник не мешал кошкам скрести на душе. ,5,459
1636881564,f22bc56aad1bc122b31322a6a09ec2f6,id.mesh.act.b,Никакие утешения не мешали слезам литься в три ручья – потерялась Анина любимая плюшевая собачка.,4,673
1636881564,f22bc56aad1bc122b31322a6a09ec2f6,id.pozv.pass.a,Серёжка думал%2C поселить ли у себя в комнате домашнюю жабу%2C но внезапное появление отца позволило её судьбе решиться мгновенно – она была выдворена на улицу.,4,880
