reception_time,ip,label,sentence,answer,time
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-1F.01,Анечка совсем не хотела есть суп%2C потому что терпеть не могло вареный луком. ,4,2672
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fg-1F.01,Если бы не дождь с градом%2C я бы пошла сегодня гулять в Петровский парк. ,4,820
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-3F.01,Дома холодные полы%2C поэтому бабушка настаивает%2C чтобы гости наденут тапочки. ,4,599
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fg-3F.02,Курины уехали на дачу на две недели%2C и до них теперь не дозвонишься.,4,462
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-4F.01,Дедлайн стремительно приближался%2C а я успевает сделать примерно ничего. ,4,557
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fg-6F.01,Никто не заставляет Витю просыпаться в шесть утра%2C он сам поднимается и идет на пробежку. ,4,514
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-8F.01,Нике явно не нравилось вечеринке%2C у неё болела голова и она поскорее хотела пойдёт домой.,4,461
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fg-1F.02,Меня пригласили на выставку%2C посвященную русским супрематистам%2C но мне совсем не хотелось идти. ,4,410
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-1F.02,Все были взволнованы после ухода Петра Степановича%2C даже Лизе. ,4,459
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fg-5F.01,На поле рядом с моим домом уже давно ничего не выращивают. ,4,485
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-2F.02,Если мой рассказ тебя не убедишь%2C поговори с Алисой – она отлично разбирается в людях. ,4,436
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fg-2F.01,Алёше уже не нужны костыли – его нога совсем зажила. ,4,425
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-7F.02,Дойдя до вертолётной площадки%2C мы повернулись назад и увидели закат холодное осеннего солнце.,4,445
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fg-7F.01,Квартира в пригороде Москвы дешевле%2C но ежедневно добираться оттуда на работу – большая трата времени. ,4,458
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-6F.02,Виктор опять не принес сочинение на урок литературы%2C и учитель снова начал за отчитывать его возмутительное неприлежание.,4,350
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fg-6F.02,Нет ничего красивее блестящих на солнце луж.,4,407
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-5F.01,Ты правда научился читать всего в три лет?,4,464
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fg-2F.02,Сколько он ни пытался%2C не даётся ему сербский язык – то ли дело итальянский.,4,429
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-6F.01,На стене висел акварельные этюды%2C исчерканные углевым карандашом для придания глубины%2C карта Израиля и круглыми часы. ,4,409
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fg-7F.02,Новосибирск оказался вовсе не таким%2C каким Лиза его себе представляла.,4,331
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-5F.02,Рыбу здесь запрещено ловил сетями и пугал бы взрывчаткой.,4,385
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fg-4F.01,Химия так плохо давалась Насте%2C что пришлось нанять репетитора – студента 4 курса МГУ. ,4,314
1636880892,f22bc56aad1bc122b31322a6a09ec2f6,Fu-2F.01,У меня никогда не было музыкальных способностей%2C но я отличалась склонностью рисованием. ,4,445
